symbol,display_symbol,provider_symbol,name,exchange,is_etf,is_test_issue,raw_type,source,active
ACKY,ACKY,ACKY,VistaShares Target 15 ACKtivist Distribution ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACLC,ACLC,ACLC,American Century Large Cap Equity ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACLO,ACLO,ACLO,TCW AAA CLO ETF,NYSE,True,False,ETF,nasdaqtrader:otherlisted,True
ACLS,ACLS,ACLS,"Axcelis Technologies, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACM,ACM,ACM,AECOM Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACMR,ACMR,ACMR,"ACM Research, Inc. - Class A Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACN,ACN,ACN,Accenture plc Class A Ordinary Shares (Ireland),NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACNB,ACNB,ACNB,ACNB Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACNT,ACNT,ACNT,Ascent Industries Co. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACOG,ACOG,ACOG,Alpha Cognition Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACON,ACON,ACON,"Aclarion, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACONW,ACONW,ACONW,"Aclarion, Inc. - Warrant",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACP,ACP,ACP,abrdn Income Credit Strategies Fund Common Shares,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACP$A,ACP$A,ACP$A,abrdn Income Credit Strategies Fund 5.250% Series A Perpetual Preferred Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACR,ACR,ACR,ACRES Commercial Realty Corp. Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACR$C,ACR$C,ACR$C,ACRES Commercial Realty Corp. 8.625% Fixed-to-Floating Series C Cumulative Redeemable Preferred Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACR$D,ACR$D,ACR$D,ACRES Commercial Realty Corp. 7.875% Series D Cumulative Redeemable Preferred Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACRE,ACRE,ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACRS,ACRS,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACRV,ACRV,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACSG,ACSG,ACSG,American Century Small Cap Growth Insights ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACSI,ACSI,ACSI,American Customer Satisfaction ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACSV,ACSV,ACSV,American Century Small Cap Value Insights ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACT,ACT,ACT,"Enact Holdings, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACTG,ACTG,ACTG,Acacia Research Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACTS,ACTS,ACTS,FIS Tactical Equity ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACTU,ACTU,ACTU,"Actuate Therapeutics, Inc. - Common stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACU,ACU,ACU,Acme United Corporation. Common Stock,NYSE American,False,False,stock,nasdaqtrader:otherlisted,True
ACV,ACV,ACV,Virtus Diversified Income & Convertible Fund Common Shares of Beneficial Interest,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACVA,ACVA,ACVA,ACV Auctions Inc. Class A Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ACVF,ACVF,ACVF,American Conservative Values ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACVT,ACVT,ACVT,Advent Convertible Bond ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACVU,ACVU,ACVU,Hartford Alpha Capture Value ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACWI,ACWI,ACWI,iShares MSCI ACWI ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ACWV,ACWV,ACWV,iShares MSCI Global Min Vol Factor ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ACWX,ACWX,ACWX,iShares MSCI ACWI ex U.S. ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ACXP,ACXP,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ACYN,ACYN,ACYN,FT Vest Laddered Autocallable Barrier & Income ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ACYS,ACYS,ACYS,FT Vest Laddered Autocallable Barrier & Resilient Income ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
AD,AD,AD,"Array Digital Infrastructure, Inc. Common Shares",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADAC,ADAC,ADAC,American Drive Acquisition Company - Class A Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADACU,ADACU,ADACU,American Drive Acquisition Company - Units,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADACW,ADACW,ADACW,American Drive Acquisition Company - Warrant,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAG,ADAG,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAM,ADAM,ADAM,"Adamas Trust, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMG,ADAMG,ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMH,ADAMH,ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMI,ADAMI,ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAML,ADAML,ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMM,ADAMM,ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMN,ADAMN,ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMO,ADAMO,ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADAMZ,ADAMZ,ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADBE,ADBE,ADBE,Adobe Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADBG,ADBG,ADBG,Leverage Shares 2X Long ADBE Daily ETF,NASDAQ,True,False,ETF,nasdaqtrader:nasdaqlisted,True
ADBU,ADBU,ADBU,Direxion Daily ADBE Bull 2X ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ADC,ADC,ADC,Agree Realty Corporation Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADC$A,ADC$A,ADC$A,"Agree Realty Corporation Depositary Shares, each representing 1/1,000th of a 4.250% Series A Cumulative Redeemable Preferred Stock",NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADCT,ADCT,ADCT,ADC Therapeutics SA Common Shares,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADEA,ADEA,ADEA,Adeia Inc.  - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADFI,ADFI,ADFI,Anfield Dynamic Fixed Income ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ADGM,ADGM,ADGM,"Adagio Medical Holdings, Inc - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADI,ADI,ADI,"Analog Devices, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADIL,ADIL,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADIV,ADIV,ADIV,Guinness Atkinson Asia Pacific Dividend Builder ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ADM,ADM,ADM,Archer-Daniels-Midland Company Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADMA,ADMA,ADMA,ADMA Biologics Inc - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADME,ADME,ADME,Aptus Drawdown Managed Equity ETF,Cboe,True,False,ETF,nasdaqtrader:otherlisted,True
ADNT,ADNT,ADNT,Adient plc Ordinary Shares,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADP,ADP,ADP,"Automatic Data Processing, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADPT,ADPT,ADPT,Adaptive Biotechnologies Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADPV,ADPV,ADPV,Adaptiv Select ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
ADSE,ADSE,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADSEW,ADSEW,ADSEW,ADS-TEC ENERGY PLC - Warrant,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADSK,ADSK,ADSK,"Autodesk, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADT,ADT,ADT,ADT Inc. Common Stock,NYSE,False,False,stock,nasdaqtrader:otherlisted,True
ADTN,ADTN,ADTN,"ADTRAN Holdings, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADTX,ADTX,ADTX,"Aditxt, Inc. - Common Stock",NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADUR,ADUR,ADUR,Aduro Clean Technologies Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADUS,ADUS,ADUS,Addus HomeCare Corporation - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADV,ADV,ADV,Advantage Solutions Inc.  - Class A Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADVB,ADVB,ADVB,Advanced Biomed Inc. - Common Stock,NASDAQ,False,False,stock,nasdaqtrader:nasdaqlisted,True
ADVE,ADVE,ADVE,Matthews Asia Dividend Active ETF,NYSE Arca,True,False,ETF,nasdaqtrader:otherlisted,True
